股票,行业,γ,γ-p值,R²,显著
万科A,房地产,0.0014460312205944468,0.82048817814708,0.00081053374278095,No
中兴通讯,通讯,0.0004959172338393041,0.961745247466057,3.622668451574995e-05,No
五粮液,白酒,0.008432070427171518,0.361617958679038,0.013020530280833054,No
顺丰控股,物流,0.017345742798558238,0.061204262828371034,0.05368940454671245,Yes
比亚迪,汽车,0.0073851141682383685,0.5259738594184493,0.006313054944857566,No
招商银行,银行,-0.00824947161669327,0.19157979965155017,0.026498398408246082,No
上汽集团,汽车,-0.004260333109530448,0.34508135975249526,0.013940134941033855,No
贵州茅台,白酒,0.005605558341156162,0.4563407135730254,0.008699491146979321,No
工商银行,银行,-0.006520191953459608,0.001203302830527953,0.15219049362396397,Yes
中国石油,能源,-0.009208967992158047,0.05974530874723637,0.054285156143998536,Yes
